"Freq [GHz]","dB(S(1,1)) []","dB(S(1,2)) []"
0.1,-3.60531022627861,3.81887832026928
0.15,-32.1694208529525,0.821833058019819
0.2,-25.4600411592025,0.219732244592378
0.25,-26.2800684127116,-0.00146842389753099
0.3,-22.9590870178573,-0.129746709419553
0.35,-19.4028789770992,-0.229791684750911
0.4,-17.6736883470107,-0.304233013049912
0.45,-17.6922401785011,-0.342810285818868
0.5,-19.5383292892707,-0.349869653298542
0.55,-22.2952321269719,-0.354452016926968
0.6,-19.8678131910636,-0.39718037251945
0.65,-15.6709682399369,-0.493289022509034
0.7,-13.2024897722262,-0.60741950902375
0.75,-12.3329351256397,-0.676144999145762
0.8,-13.0450921869463,-0.658920561495083
0.85,-15.9603047981192,-0.580671799123445
0.9,-21.1352351980956,-0.540697396333341
0.95,-15.4724750560644,-0.6700792901571
1,-10.0187323740706,-1.03770156907006
1.05,-7.04468004969874,-1.57666912113444
1.1,-5.39253841030947,-2.13789921509133
1.15,-4.50873525747483,-2.59338997841714
1.2,-4.08741323248456,-2.87735220470618
1.25,-3.94495069351114,-2.99094005036239
1.3,-3.99376529375009,-2.97327938672613
1.35,-4.17666599868409,-2.87610066099663
1.4,-4.46665148719545,-2.7241114155842
1.45,-4.915657176134,-2.50812169570111
1.5,-5.65274548801132,-2.20580126508748
1.55,-6.91533788440606,-1.8141342839349
1.6,-9.13911128378088,-1.38099874121938
1.65,-13.2723944108544,-1.01036487570265
1.7,-22.4726132809299,-0.812280751978136
1.75,-21.2867955184191,-0.815109406770575
1.8,-14.757405538923,-0.935899367328139
1.85,-12.5306650607028,-1.05046597393507
1.9,-12.3047676717797,-1.07806473193759
1.95,-13.7077198792491,-1.01390400237397
2,-17.1780278596406,-0.914359525309734
2.05,-23.7788211263902,-0.851977420163002
2.1,-22.7498547998953,-0.862394211893751
2.15,-17.8409498770532,-0.920829979928539
2.2,-15.9939483428279,-0.971650196643758
2.25,-16.2647182392,-0.976384510989285
2.3,-18.748399627449,-0.939130821183558
2.35,-25.4609370790648,-0.898616757810639
2.4,-30.0953061047261,-0.896245241657775
2.45,-20.2080603686128,-0.943269716240001
2.5,-16.5313871551833,-1.01473694909944
2.55,-15.1380622953351,-1.07045209969609
2.6,-15.1772192421025,-1.08791501014105
2.65,-16.3897296587213,-1.06998661101555
2.7,-18.7978619492169,-1.0361045292283
2.75,-22.4696106005038,-1.00933574625305
2.8,-26.9562740624393,-0.999453454725659
2.85,-29.8880213341181,-1.00284871649314
2.9,-30.0962011796211,-1.01268270357517
2.95,-28.7487163506862,-1.02587675364552
3,-26.3528140532682,-1.04235732599911
3.05,-24.4546179609167,-1.06051724417721
3.1,-23.8776937741908,-1.07653191410894
3.15,-24.4223552090615,-1.09024791496653
3.2,-23.8335725495356,-1.11043163915658
3.25,-20.5144335249367,-1.15000205480578
3.3,-17.2814268806292,-1.2115458788841
3.35,-15.3309744545875,-1.27638394869691
3.4,-14.804614157328,-1.31255989814365
3.45,-15.9933109959782,-1.3025630974687
3.5,-19.7856508424543,-1.27495682487095
3.55,-21.1816272814777,-1.31510193595725
3.6,-13.9961793549406,-1.52644561328868
3.65,-9.47893370989654,-1.94662414917953
3.7,-6.88196054102204,-2.49967883706993
3.75,-5.39606896952104,-3.04540657843119
3.8,-4.58932449609593,-3.46072332327349
3.85,-4.22672445561104,-3.67898045931353
3.9,-4.18504706828117,-3.69071652104861
3.95,-4.40065511077401,-3.53145425962362
4,-4.83400517223807,-3.26456450696644
4.05,-5.45287974576988,-2.95647314773969
4.1,-6.25083299166497,-2.64903702159667
4.15,-7.30399940384429,-2.34930150940039
4.2,-8.83922532295415,-2.04877875535431
4.25,-11.3323802071004,-1.75809220950242
4.3,-15.8954923144506,-1.52392136657578
4.35,-27.4009896113107,-1.40485644378086
4.4,-21.6899325539976,-1.41825186312427
4.45,-15.4853609452741,-1.51291696967551
4.5,-13.3097786936917,-1.60229902559982
4.55,-13.098723162746,-1.62233891864695
4.6,-14.6117898521786,-1.56559729950393
4.65,-18.6397931707204,-1.47839881875518
4.7,-30.6857119445165,-1.42585435279427
4.75,-24.1786768308385,-1.44217445652302
4.8,-17.7337686277365,-1.50440496578821
4.85,-15.6930586377516,-1.55572773029725
4.9,-15.9751174247434,-1.5550435181539
4.95,-18.7836884952082,-1.50937754849253
5,-26.9360490156676,-1.4709352385714
